"N","freshwater source","type of average","x (lon)","y (lat)","side","discharge","O2o","N1p","N3n","N4n","O4n","N5s","N6r","B1c","B1n","B1p","P1c","P1n","P1p","P1i","P1s","P2c","P2n","P2p","P2i","P3c","P3n","P3p","P3i","P4c","P4n","P4p","P4i","Z3c","Z3n","Z3p","Z4c","Z4n","Z4p","Z5c","Z5n","Z5p","Z6c","Z6n","Z6p","R1c","R1n","R1p","R1s","R2c","R6c","R6n","R6p","R6s","R7c","O3c","O3h"
"11","Zrmanja","yearly clim.",89,463,"E",30,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"12","HPP Senj + Crikvenica","yearly clim.",87,476,"E",64,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"14","Timavo","daily data",48,500,"E",32,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"15","Isonzo + D/2","daily data",42,500,"N",102,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"16","Tagliamento + D/2","yearly clim.",29,498,"N",55,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"17","Livenza + D/2","yearly clim.",22,496,"N",94,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"18","Piave + D/2","yearly clim.",16,493,"N",39,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"19","Sile + D/2","yearly clim.",12,492,"N",40,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"20","Brenta + 2*D/2","yearly clim.",3,481,"W",115,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"21","Adige + 2*D/2","yearly clim.",4,479,"W",162,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"22","Po + D/2","daily data",3,474,"W",1414,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"23","Reno","yearly clim.",2,460,"W",29,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
"25","Pescara","yearly clim.",62,395,"W",32,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
