N,freshwater source,type of average,x (lon),y (lat),side,vertical cells,horizontal cells,discharge,O2o,N1p,N3n,N4n,O4n,N5s,N6r,B1c,B1n,B1p,P1c,P1n,P1p,P1l,P1s,P2c,P2n,P2p,P2l,P3c,P3n,P3p,P3l,P4c,P4n,P4p,P4l,Z3c,Z3n,Z3p,Z4c,Z4n,Z4p,Z5c,Z5n,Z5p,Z6c,Z6n,Z6p,R1c,R1n,R1p,R2c,R3c,R6c,R6n,R6p,R6s,O3c,O3h,O5c
1,Krka,yearly clim.,719,194,N,3,1,39,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
2,Zrmanja,yearly clim.,666,288,E,3,1,30,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
3,HPP Senj + Crikvenica,yearly clim.,509,462,E,3,1,64,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
4,Bakarac + Rjecina,yearly clim.,450,501,N,3,1,13,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
5,Rasa,yearly clim.,372,426,N,3,1,5,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
6,Mirna,yearly clim.,295,491,E,3,1,9,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
7,Dragonja,yearly clim.,293,524,E,3,1,8,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
8,Rizana,yearly clim.,320,534,E,3,1,4,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
9,Timavo,daily data,297,583,E,3,1,32,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
10,Isonzo,daily data,269,575,N,3,1,102,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
11,Tagliamento,yearly clim.,191,560,N,3,1,55,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
12,Livenza,yearly clim.,145,552,N,3,1,94,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
13,Piave,yearly clim.,120,541,N,3,1,39,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
14,Sile,yearly clim.,92,526,N,3,1,40,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
15,Brenta,yearly clim.,33,466,W,3,1,115,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
16,Adige,yearly clim.,35,463,W,3,1,162,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
17,Po,daily data,47,426,W,6,2,1414,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
18,Po,daily data,47,425,W,6,2,1414,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
19,Reno + Lamone,yearly clim.,25,341,W,3,1,67,240,2,572,150,34,121,0,150,0,1,0,017,0,0019,10,0,125786164,0,007861635,0,2,0,125786164,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,5,0,062893082,0,003930818,0,1,0,1,0,0015,0,000167,0,1,0,0015,0,000167,0,1,0,00167,0,000185,0,1,0,00167,0,000185,0,0,0,0,0,0,0,0,0,33225,2800,0
