"N","freshwater source","type of average","x (lon)","y (lat)","side","vertical cells","horizontal cells","discharge","O2o","N1p","N3n","N4n","O4n","N5s","N6r","B1c","B1n","B1p","P1c","P1n","P1p","P1l","P1s","P2c","P2n","P2p","P2l","P3c","P3n","P3p","P3l","P4c","P4n","P4p","P4l","Z3c","Z3n","Z3p","Z4c","Z4n","Z4p","Z5c","Z5n","Z5p","Z6c","Z6n","Z6p","R1c","R1n","R1p","R1s","R2c","R6c","R6n","R6p","R6s","R7c","O3c","O3h"
"1","Wate_ICF","yearly clim.",6,81,"W",2,1,0.0028,0,4.73684210526316E-05,0,0,0,0.0250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Waste_GC","yearly clim.",6,80,"W",2,1,13.0000,0,30.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
