ir;rivername;jir;jjr;runoffFactor;catchment;lon mouth;lat mouth;side;jia;jja;nw;nz;S;T0;TD;O2o;N1p;N3n;N4n;O4n;N5s;N6r;B1c;B1n;B1p;P1c;P1n;P1p;P1l;P1s;P2c;P2n;P2p;P2l;P3c;P3n;P3p;P3l;P4c;P4n;P4p;P4l;Z3c;Z3n;Z3p;Z4c;Z4n;Z4p;Z5c;Z5n;Z5p;Z6c;Z6n;Z6p;R1c;R1n;R1p;R2c;R3c;R6c;R6n;R6p;R6s;O3c;O3h;O5c;;;;;;;;;;
11;Dese;383;148;1;4.76E+08;12.38593442;45.5193871;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
12;Sile;385;147;1;5.24E+08;12.58372364;45.47995942;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
13;Piave;404;149;1;4.52E+09;12.73102769;45.53270909;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
14;Livenza;412;145;1;2.46E+09;12.86368887;45.59032962;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
15;Lemene;414;143;1;4.47E+08;12.89164423;45.6290241;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
16;Tagliamento;427;142;1;2.82E+09;13.1003319;45.64408751;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
17;Stella;426;137;1;5.07E+08;13.09330531;45.7354159;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
18;Cormor;428;135;1;3.11E+08;13.12950726;45.77019822;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
19;Aussa;435;135;1;3.28E+08;13.23713615;45.75417162;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
20;Timavo;455;134;6.6;3.03E+08;13.6053587;45.78896145;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
21;Isonzo;453;137;1;3.44E+09;13.55256778;45.72567141;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
22;Mirna;456;162;1;5.37E+08;13.5947871;45.3162397;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
23;Rasa;483;178;1;4.80E+08;14.04653;45.035376;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
24;Rjecina;507;161;1;1.84E+08;14.449767;45.3227229;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
25;Zrmanja ;576;228;1;8.37E+08;15.5257;44.2422;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
